2022-06-14 09:04:27,407 [INFO] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,408 [WARNING] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,408 [ERROR] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,408 [INFO] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,408 [WARNING] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,408 [ERROR] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:04:27,424 [INFO] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:04:27,424 [WARNING] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:04:27,425 [ERROR] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:05:23,840 [INFO] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [WARNING] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [ERROR] {'_id': ObjectId('62a7e957265c7eb70485a48e'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [INFO] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [WARNING] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [ERROR] {'_id': ObjectId('62a7ea83490d192b0f0d716d'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,840 [INFO] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:05:23,841 [WARNING] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:05:23,841 [ERROR] {'_id': ObjectId('62a7ebba70c0f61ffddad7b7'), 'Instance': 'APIKEY_BITKUB', 'Activate': False}
2022-06-14 09:05:23,841 [INFO] {'_id': ObjectId('62a7ecdafebdcff96a22882f'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,841 [WARNING] {'_id': ObjectId('62a7ecdafebdcff96a22882f'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
2022-06-14 09:05:23,841 [ERROR] {'_id': ObjectId('62a7ecdafebdcff96a22882f'), 'Instance': 'APIKEY_BITKUB', 'Activate': True}
